,mail_content
568,"One of your friends sent this email through our website.
Friend's name: Angela Barnett
Friend's IP address: 192.152.140.9
Date and Time: 12/11/00 7:19:15 AM EST
See the bottom of this message to report abuse.


Hi,

Angela Barnett would like you to see this Web page:

http://www.daily-blessings.com/106p.htm

check this out  :)

================================================
Angela Barnett also included this note:


================================================



Win a Billion Dollars!
Win a Billion Dollars!
Win a Billion Dollars!
Win a Billion Dollars!

go to:
http://mailbits.net/grab/taf.asp
<a href=""http://mailbits.net/grab/taf.asp"">Win a Billion Dollars !!!</a>




____
***IMPORTANT NOTE***

This is a free service provided by MailBits.com.
Compared to regular email, this is a better way to
recommend a website to your friends. That's because
information about the sender of the message is included
to prevent and catch abuse of the system.

"
569,"  Some cute bumper stickers!

  Some people are only alive because
  it is illegal to shoot them

  I used to have a handle on life, but it broke.

  WANTED: Meaningful overnight relationship.

  You're just jealous because the voices
  only talk to ME.

  BEER: It's not just for breakfast anymore.

  So you're a feminist...Isn't that cute.

  I need someone real bad...
  Are you real bad?

  BEAUTY is in the eye of the beer holder.

  All men are idiots...
  and I married their king.

  The more you complain,
  the longer God makes you live.

  I(nternal) R(evenue) S(ervice):
  We've got what it takes
  to take what you've got.

  Hard work has a future payoff.
  Laziness pays off now.

  Reality is a crutch for people
  who can't handle drugs.

  Out of my mind...Back in five minutes.

  As long as there are tests,
  there will be prayer in public schools.

  Hang up and drive.

  I said ""NO"" to drugs,
  but they didn't listen.

  Your kid may be an Honor Student,
  but YOU'RE still an idiot.

  Smile, it's the second best thing you can do with your lips.

  I took an IQ test and the results were negative.

  Where there's a will...I want to be in it.

  It's lonely at the top, but you eat better.

  Don't drink and drive...
  You might hit a bump and spill your drink.

  Consciousness: That annoying time between naps.

  Ever stop to think, and forget to start again?

  Always remember you're unique...
  Just like everyone else.

  HONK
  If You Want To See My Finger

  Who lit the fuse on your tampon?

  I don't have a license to kill.
  I have a learner's permit.

  I wasn't born a bitch.
  Men like you made me this way.

  Keep honking while I reload.

  Taxation WITH representation isn't so hot, either!

  Who were the testers for
  Preparations A through G?

  Madness takes its toll.
  Please have exact change.

  5 days a week my body is a temple.
    The other two, it's an amusement park.

  EARTH FIRST!
  We'll stripmine the other planets later.

  If you drink, don't park.
  Accidents cause people.

  If you can read this
  I can hit my brakes and sue you.

  Save the whales!
  Trade them for valuable prizes.

  Whitewater is over
  when the First Lady sings.

  Jack Kevorkian for White House physician.

  My wife keeps complaining I never listen to her
  ...or something like that.

  Sure you can trust the government!
  Just ask an Indian!

  Alcohol and calculus don't mix.
  Never drink and derive.

  If we are what we eat,
  I'm cheap, fast, and easy.

  Stop repeat offenders.
  Don't re-elect them!


"
570,"Hello sunshine.  I haven't heard from you, I trust everything is okay.  I 
have sad news to report.  My neighbor died this morning. You remember the 
little neighbor who got burned, and no one told her that her father had lung 
cancer, well he expired.  Please pray for the family.  I feel so sorry for 
his wife.  I know I never have good news, and if you ever get tired of me 
telling you bad news just let me know.  The devil is so busy, I have to ask 
for help to fight him.  I really appreciate your willing ear. My other 
neighbor went to the emergency room Monday and they will keep her until 
today. She 
thought she was having a heart attack.  We do not know what is wrong with her 
she will go for test on next Thursday.  Help me pray for these families.  You 
know I love you.  I will talk to you later.  Tell all the Saints I said 
hello. 

Be Blessed in Jesus Name 
Kat
"
571,"Please open the attached slide to view our Holiday Party Invitation.

Thanks everyone!
Sandy
"
572," 
	
	
	logoInfoBeat: Don't miss a beat!
	Daily Dose
	[IMAGE]
	
[IMAGE]	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	
	
	InfoBeat HomeUser Profile
	
	
	[IMAGE]
	DATE
	[IMAGE]
	Friday, December 01, 2000
	[IMAGE]
	
	[IMAGE]
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	[IMAGE]
	
	
	[IMAGE]
	[IMAGE]
	
	
	[IMAGE]
	InfoBeat Fun - Daily Dose - 12/01/2000
	
	 Cool Site of the Day 
	Fact of the Day 
	Joke of the Day 
	Quote of the Day 
	Born Today 
	
	[IMAGE]
	
	
	[IMAGE]
	
	
	[IMAGE]
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	
	
	[IMAGE]
	
	
	
	
	
	[IMAGE]
	Click on Ad -- Support InfoBeat's Free Services
	
	
	
	 
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]Cool Site of the Day
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	
	
	You wanna get smart? Well stop talking into your shoe and log onto the Weekly 
Dose of Architecture. This is a great looking, easy to comprehend site that 
will certify you as an architecture buff in a very short while. New images 
are uploaded each Monday with some brief text to go along with them, and the 
old stuff gets archived so you can catch up in your free time. Most of the 
work here is contemporary so if you're looking for anything else, simply 
click on ""links"" to explore. Architecture has never been so easy! 
http://www.internettrash.com/users/archidose/main.html
	
	[IMAGE]
	
	back to top 
	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]Fact of the Day
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	
	
	Many believe the potato chip was born in 1853 in a restaurant in Saratoga 
Springs, N.Y. when a picky customer complained about the thickness of his 
fried potatoes. When the potatoes were returned to wise guy cook, George Crum 
he sliced some potatoes as thinly as possible, fried them and sent them back 
to the customer. To his surprise the man loved them. For more, click here.
	
	[IMAGE]
	
	back to top 
	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]Joke of the Day
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	
	The Long Hack Veil
	Jennifer visited a psychic of some local repute. 
	
	In a dark and hazy room, peering into a crystal ball, the mystic delivered 
grave news: 
	
	""There's no easy way to say this, so I'll just be blunt - prepare yourself to 
be a widow. Your husband will die a violent and horrible death this year."" 
	
	Visibly shaken, Jennifer stared at the woman's lined face, then at the single 
flickering candle, then down at her hands. She took a few deep breaths to 
compose herself. 
	
	She simply had to know. She met the fortune teller's gaze, steadied her 
voice, and asked: 
	
	""Will I be acquitted?"" 
	
	For more jokes, click Joke-Of-The-Day.com
	
	[IMAGE]
	
	back to top 
	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]Quote of the Day
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	
	
	Thought For Today: ""A man cannot be too careful in the choice of his 
enemies."" - Oscar Wilde (1854-1900).
	
	[IMAGE]
	
	back to top 
	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]Born Today
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	
	
	- Former CIA director Stansfield Turner is 77.
	- Actor Robert Symonds is 74.
	- Singer Billy Paul is 66.
	- Actor-comedian-director Woody Allen is 65.
	- Singer Lou Rawls is 65.
	- Golfer Lee Trevino is 61.
	- Singer Dianne Lennon (Lennon Sisters) is 61.
	- Comedian-actor Richard Pryor is 60.
	- Country musician Casey Van Beek (Tractors) is 58.
	- Rock singer-musician Eric Bloom (Blue Oyster Cult) is 56.
	- Rock musician John Densmore (Doors) is 56.
	- Actress-singer Bette Midler is 55.
	- Singer Gilbert O'Sullivan is 54.
	- Actor Treat Williams is 49.
	- Country singer Kim Richey is 44.
	- Actress Charlene Tilton is 42.
	- Actress-model Carol Alt is 40.
	- Actor Jeremy Northam is 39.
	- Actor Nestor Carbonell is 33.
	- Actor Ron Melendez is 28.
	- Gospel singer Sarah Masen is 25.
	- Actress Ashley Monique Clark is 12.
	
	Source: Associated Press
	
	[IMAGE]
	
	back to top 
	
	
	
	
	
	
	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
	
	Click on Ad -- Support InfoBeat's Free Services
	
	
	[IMAGE]
	
	
	
	
	[IMAGE]
	[IMAGE]
	[IMAGE]
	[IMAGE]
"
573,"eThink Stuff For Sale!
That's right; get your very own eThink apparel, accessories and office 
gadgets at the Signature Shop online.  Direct your web browser to the 
Signature Shop, and then click ""eThink Merchandise"" to see the complete 
line.  Happy shopping!


eSpeak is back!  Tuesday, December 5 at 10:00 am Houston time, please join 
Chairman and CEO Ken Lay for an open-mike eSpeak event.  This is your last 
chance of the year to ask Ken questions about the issues most important to 
you.  Don't miss it!"
574,"Jeff appeared live on CNBC ""Street Signs"" to talk about Enron's stock.  Go to 
eBiz and read what he had to say.

Also in this issue:
Enron snags more awards
1,001 (not really) things to do with Pulse lights
Who in the world is Henry Hub?

It's all in the latest eBiz.  Go to home.enron.com, click Publications, then 
click eBiz, and ""eBiz December 1, 2000."""
575,"Leslie:
I didn't know that you took care of this already,

Judy, please disregard my email earlier today

David
"
576,"=09=09EMAZING Home[IMAGE]Edit Your ProfilePrivacy
=09=09
=09=09
=09=09Advice and Living - Brain Candy - Business and Money - Comics - Daybr=
eakers -=20
Entertainment
=09=09Espa=0Fol - Games - Good Thoughts - Grapevine - Greetings - Health - =
Hobbies -=20
Horoscopes
=09=09Household Hints- Kitchen - Music - Sports - Style - Technology - Trav=
el -=20
Wireless
=09=09

=09=09[IMAGE]
=09=09
=09=09
=09=09  Apply now for an Aria Visa!
=09=09Imagine a credit card with a 0% introductory APR on purchases (for co=
mplete=20
pricing information and important terms and conditions, please click on the=
=20
link below) and a 30-second online credit decision (subject to verification=
).=20
Click  here for more details.  =20
=09=09
=09=09
=09=09
=09=09Internet Tip of the Day
=09=09Thursday November 30, 2000
=09=09
=09=09MP3s =20
=09=09
=09=09Most everyone has heard of MP3s by now. The digital music files have =
thrown a=20
virtual monkey wrench into the global music/recording/distribution network =
by=20
letting users swap tunes through file-trading sites like the notorious=20
Napster. Artists and record labels say that trading in copyrighted tunes is=
=20
piracy, and they're right. Users say MP3 trading boosts bands' exposure and=
=20
that most users only download tunes for personal use, and they're right, to=
o.=20
An equitable solution that allows online digital music distribution while=
=20
protecting copyright will be reached -- there's too much money and too big =
a=20
market not to reach an agreement. One UK market study found that most music=
=20
buyers expect the MP3 to replace the CD in about five years. The genie is o=
ut=20
of the bottle. Online music is the next big thing, and it'll be good for=20
musicians, listeners and record companies, once a solution is found.
=09=09
=09=09- Dennis Ryan
=09=09
=09=09Email  this tip to a friend - Browse  the Archives
=09=09
=09=09Today's Science & Technology News:
=09=09
=09=09The Mummy Speaks!
=09=09X-rays and CT scans are giving a new look at ancient Egyptian mummies=
,=20
including one that could be Ramses I. Experts have one thing to say about=
=20
U.S. vulnerability to bioterrorism -- ""be paranoid."" Archaeologists may hav=
e=20
uncovered the remains of Fort St. Louis, a colony founded three centuries a=
go=20
by the explorer La Salle. Aslo -- Ebola vaccine progress -- making physics=
=20
fun -- irritable bowel drug pulled from shelves -- supernovae and neutrinos=
=20
-- and African wildfires aid climate studies. Click  here to read more!
=09=09
=09=09[IMAGE]
=09=09
=09=09E-greetings that are EMAZING!
=09=09Easy, fun and FREE...EMAZING greetings are the cool way to say what y=
ou've=20
gotta say. =20
=09=09
=09=09Holiday gift shopping made easy...
=09=09It's Flooz!  The online gift currency you send by email! =20
=09=09
=09=09How Cool Are You?
=09=09Click here to play the CERTS Confidence Quiz and find out. Be Certain=
 with=20
CERTS. =20
=09=09
=09=09Don't spend Christmas without the Grinch...
=09=09Save up to 40% at Amazon's Dr. Seuss Shop! =20
=09=09
=09=09Want Coupons, FREESTUFF, & More? Click Into CoolSavings
=09=09CoolSavings is the place to save BIG on all your favorite things from=
 all=20
your favorite stores and online retailers this Holiday season. =20
=09=09
=09=09=20
=09=09
=09=09
=09=09[IMAGE]
=09=09[IMAGE]
=09=09
=09=09
=09=09   =20
=09=09
=09=09Tip Gift
"
577,"One of your friends sent this email through our website.
Friend's name: Angela Barnett
Friend's IP address: 192.152.140.9
Date and Time: 11/30/00 6:36:50 AM EST
See the bottom of this message to report abuse.


Hi,

Angela Barnett would like you to see this Web page:

http://www.daily-blessings.com/ch4p.htm

check this out!  :)

================================================
Angela Barnett also included this note:


================================================



Win a Billion Dollars!
Win a Billion Dollars!
Win a Billion Dollars!
Win a Billion Dollars!

go to:
http://mailbits.net/grab/taf.asp
<a href=""http://mailbits.net/grab/taf.asp"">Win a Billion Dollars !!!</a>




____
***IMPORTANT NOTE***

This is a free service provided by MailBits.com.
Compared to regular email, this is a better way to
recommend a website to your friends. That's because
information about the sender of the message is included
to prevent and catch abuse of the system.

"
578,"CONGRATULATIONS!!!
PAT JOHNSON is the winner for =01+The Name This Newsletter Contest=01,.  It=
 was a=20
close call. After receiving over 50 great ideas, the PR Dept had a tough ti=
me=20
narrowing the list to the top ten for Mark Frevert=01,s final decision.  We=
=01,d=20
like to thank everyone who submitted suggestions and a special thanks to Pa=
t=20
Johnson for sending in the winning name EnTouch.=20


BUSINESS HIGHLIGHTS

EGM Coal & Emissions
The November and December NYMEX market remains very tight.  Offers in the O=
TC=20
market have climbed to the low $40s.  The highest reported trade for Decemb=
er=20
was reported at $38.50.   The tightness should continue through the first=
=20
half of the year  with the Martin County mine still shut down.  The rest of=
=20
the year remains strong piggy backing off of the current spot market.=20

Finally--Life beyond the 150 to 155 range--vintage year 2000 SO2 allowances=
=20
broke out of this trading range this week.  The low trade was around $119.5=
0=20
and the last trade was around $120.50.  The sharp drop in prices was caused=
=20
in large part by the news of Dominion Virginia Power settling the New Sourc=
e=20
Review lawsuit brought against it by the state of NY and the EPA Continuing=
=20
rumors of further NSR related settlements will likely create continued=20
volatility.  It is as yet unclear what the new price floor will be.

NOx has settled down a bit with last trade 2001 vintage of $675.

Principal Investments
Solo Energy Corporation, an Alameda, California based developer of Wireless=
=20
Energy microturbine products to supply superior on-site energy service to=
=20
U.S. commercial and light industrial customers, announced that Enron North=
=20
America has completed an equity investment in Solo Energy as well as entere=
d=20
into an alliance agreement.

In exchange for warrants to purchase the Company=01,s preferred stock, Enro=
n=20
will assist in obtaining fuel contracts to support the Company=01,s distrib=
uted=20
generation contracts, including the provision of gas and backup electricity=
,=20
and will work with the Company to support its market and gas technology=20
research.=20

NEWS FROM THE GLOBALFLASH

EnronCredit.com
On Halloween, Enron Credit.com hit the City of London last Tuesday. As an=
=20
original PR stunt, the EnronCredit.com team organized a Grim Reaper with tw=
o=20
female vampires to distribute candy carrying the message, ""Corporate=20
bankruptcies are on the increase and could be your worst nightmare. You can=
=20
protect your company and sleep well at night"". Locations for the distributi=
on=20
of 5,000 packs of candy were Bank, Broadgate and Canary Wharf. The general=
=20
feedback and reaction of people was positive. Photos of the event will be=
=20
available on the EnronCredit.com site.

Enron Japan Corp.
Enron is powering ahead in Japan following the official launch of Enron Jap=
an=20
Corp. in Tokyo last week.  In keeping with Japanese tradition, Ken Lay, Joe=
=20
Hirl, Ken Rice and Mike McConnell donned ""happi coats"" - a sort of short=20
kimono - and used ceremonial hammers to break the lid of a wooden cask of=
=20
sake in front of an audience of 350 drawn from major companies and=20
government.  Enron has made an immediate impact already by offering eligibl=
e=20
consumers 3-5 year contracts with immediate savings of up to 10 percent in=
=20
the first year.   View the Japan website at www.enron.co.jp  [No worries,=
=20
it's in Japanese and English ...Ed]

There are 35 Enron employees in the Tokyo office including an Enron Metals=
=20
team.  EBS will be staffing up there over the coming months. =20


Nordic energy agreement with UPM-Kymmene
Enron Nordic Energy and UPM-Kymmene Corp. have signed a two-year portfolio=
=20
management agreement covering UPM Kymmene's Nordic power portfolio. The=20
Mid-Market desk in the Oslo office will assist UPM in optimising its=20
portfolio of approximately 14 TWh. energydesk.com will provide UPM with the=
=20
risk management system used in the process. In addition, the agreement open=
s=20
the door for Enron Energy Services to explore a variety of opportunities=20
within the company. The Nordic agreement is the first step towards a broade=
r=20
scope of co-operation with UPM on a European and Global basis. The total=20
contract value is estimated to be $375 million.

UPM-Kymmene's nominal electricity resources total about 3000 MW, of which=
=20
2500 MW in Finland and about 500 MW in other countries. The group's power=
=20
procurement totals approximately 18 TWh per year, of which about 14 TWh in=
=20
Finland. Around 15 TWh/a is consumed by the group's own mills and the rest =
is=20
sold to the market.

http://www.upm-kymmene.com
http://www.upm-kymmene.com/upm/energy/energybuild.html

The deal was led by Sami Tenngren - Nordic Mid-Market, and was supported by=
=20
Magnus Groth - EES, Jukka Hormaluoma - energydesk.com, and Martin Rosell -=
=20
Legal.

Congratulations on a job well done to all those who worked so hard to put=
=20
this transaction into place........Thor Lien.

Australia
Despite heavy flooding in NSW, the weather is looking up for Enron=20
Australia.  Last week, the Sydney Office launched online Hong Kong weather=
=20
derivatives  and the Sydney weather node traded on EnronOnline in the US ti=
me=20
zone.  With this precedent, we hope to support the takeoff of global weathe=
r=20
on EnronOnline. =20

The Coal Group in Sydney has suddenly become very popular. There is no doub=
t=20
that a recent sale to AES for the plant at Barbers Point, Hawaii is the rea=
l=20
reason.  Coal purchases during year 2000 have been concluded with most majo=
r=20
producers in Indonesia and Australia.  We will soon be loading our first=20
shipment from China. Deliveries to Nippon Steel in Japan are underway. Also=
,=20
a shipment to a large power utility in Japan will take place in early 2001.

Off-shore wind plans
Enron has entered into agreement to purchase the development assets of a 30=
=20
MW offshore wind project in the UK.  The Harwich project, situated in=20
Gunfleet Sands approximately eight kilometres offshore in the North Thames=
=20
Estuary is believed to represent one of the first serious investments in th=
e=20
development of offshore wind energy in the UK.


ENRONONLINE STATISTICS

Below are the latest figures for EnronOnline as of November 27, 2000.

* Total Life to Date Transactions> 464,000
* Life to Date Notional Value of Transactions > $263 billion


NUGGETS & NOTES

""How does your earnings target look for the quarter?"" =01) Brent Price,=20
VP/Operations & Chief Accounting Officer for EGM

""Always price the illiquidity risk premium appropriately!"" =01) Doug Friedm=
an,=20
Director of Financial Petrochemicals and Plastics

What people say to Julie Gomez,VP/Upstream Services-ENA - ""I heard your lau=
gh=20
clear across the floor!!!""


IN THE NEWS

""The uncertainty [of the presidential election] does not influence business=
.=20
It is a relatively short-term distraction. Our business model has not chang=
ed=20
and will not change as a result of the election because we've worked very=
=20
well with both the Clinton/Gore administration in Washington and the Bush=
=20
administration in Texas.""
-- Mark Palmer, vice president of Enron Corporate Communications, Associate=
d=20
Press

""The name of Enron may be unfamiliar in Japan, but it should not stay that=
=20
way for long.........Joseph Hirl, president of Enron Japan, says: ""We don't=
=20
go in and try to destroy markets - we go in and create them.""  Some of the=
=20
company's potential customers and business partners may still need to be=20
persuaded of that, but Enron has a large stock of experience to reassure=20
them""."
579,"InfoBeat Alerts - An Update from InfoBeat


*** An Update From InfoBeat

Dear Valued InfoBeat Subscriber:

We sincerely apologize for any service disruption or inconvenience
you may have experienced recently with your InfoBeat service.
Over the past few months, we have been making important upgrades
to many parts of our publishing system.  Unfortunately, the final
set of upgrades, which we have been working on over the past few
weeks, has caused some unanticipated disruptions to the InfoBeat 
service.

The InfoBeat engineering team worked around the clock this past
Thanksgiving weekend to implement changes that will prevent such 
situations from occurring in the future.  We very much appreciate 
your continued patience as we make some final enhancements which, 
when completed, will result in an InfoBeat service that is better 
than ever.

Thank you for your continued support which has helped InfoBeat grow 
to be a service with over 8 million subscribers, each receiving 
personalized news every day.  We greatly appreciate your patience 
as we finish our upgrades that will make InfoBeat even better for 
every one of you.  

If you have any questions or comments, please visit our Feedback 
"
580,"=09=09EMAZING Home[IMAGE]Edit Your ProfilePrivacy
=09=09
=09=09
=09=09Advice and Living - Brain Candy - Business and Money - Comics - Daybr=
eakers -=20
Entertainment
=09=09Espa=0Fol - Games - Good Thoughts - Grapevine - Greetings - Health - =
Hobbies -=20
Horoscopes
=09=09Household Hints - Kitchen - Music - Sports - Style - Technology - Tra=
vel -=20
Wireless
=09=09

=09=09[IMAGE]
=09=09
=09=09
=09=09  JobsOnline is giving away $10,000 instant cash!
=09=09JobsOnline is one of the Internet's leading sites for employment info=
rmation=20
and career resources. Search their extensive database of over 200,000 job=
=20
postings to make your next career move. And use the site=01,s valuable care=
er=20
resources to assist you in your job search =01) or to succeed in your curre=
nt=20
position. Click  here for more details.  =20
=09=09
=09=09
=09=09
=09=09Internet Tip of the Day
=09=09Wednesday November 29, 2000
=09=09
=09=09The Wireless Future =20
=09=09
=09=09The wireless Internet is the big buzz these days. It's here, but it's=
 not=20
ready for prime time. Most wireless Internet services deliver an abbreviate=
d=20
Web experience -- all text, for instance, or special low-graphics Web pages=
.=20
It's expensive, too. Most wireless Internet devices are Net-capaable cell=
=20
phones and PDAs, though more and more laptops and palmtops are offering=20
wireless modems. Wireless is still for road warriors and others who need it=
=20
at this point, but not for long. Telephone carriers, cell companies, and IS=
Ps=20
are teaming up to make wireless Internet service cheaper and more common.=
=20
Some even foresee an entirely wireless future. You'll be able to surf the N=
et=20
wherever you are, and make phone calls, too. As bandwidth grows, you'll eve=
n=20
get television and other multimedia entertainment over wireless devices.=20
Displays will get larger and brighter, batteries more efficient, and wirele=
ss=20
pipes fatter (can you still call it a ""pipe"" when it comes through the air?=
).=20
It's all going to happen, and sooner than you think.
=09=09
=09=09- Dennis Ryan
=09=09
=09=09Email  this tip to a friend - Browse  the Archives
=09=09
=09=09Today's Science & Technology News:
=09=09
=09=09Are You Listening?
=09=09Science confirms what most women already know -- men only use half th=
eir=20
brain when listening, while women use both halves. A 200-year record of dai=
ly=20
solar observations inndicates the Sun may have more to do with global warmi=
ng=20
than thought. Catalytic converters create one kind of pollutant even as the=
y=20
reduce another. Also -- Scientists find brain's ""funny bone"" -- Ensuring th=
e=20
safety of aging nukes -- Artificial photsynthesis -- And why the food that'=
s=20
good for you tastes bad! Click  here to read more!
=09=09
=09=09[IMAGE]
=09=09
=09=09E-greetings that are EMAZING!
=09=09Easy, fun and FREE...EMAZING greetings are the cool way to say what y=
ou've=20
gotta say. =20
=09=09
=09=09Holiday gift shopping made easy...
=09=09It's Flooz!  The online gift currency you send by email! =20
=09=09
=09=09Win a FREE Sony Playstation 2 from Half.com!
=09=09Every dollar spent at Half.com is an entry.  Easy holiday shopping is=
 waiting=20
for you at our Holiday Gift Central! =20
=09=09
=09=09Don't spend Christmas without the Grinch...
=09=09Save up to 40% at Amazon's Dr. Seuss Shop! =20
=09=09
=09=09LET YOUR LAPTOP COMPUTER CONNECT TO THE INTERNET WIRELESSLY
=09=09Sign up today for the Sierra Aircard and connect to the Internet Anyt=
ime,=20
Anywhere. =20
=09=09
=09=09=20
=09=09
=09=09
=09=09[IMAGE]
=09=09[IMAGE]
=09=09
=09=09
=09=09   =20
=09=09
=09=09Tip Gift
"
581,"=09=09EMAZING Home[IMAGE]Edit Your ProfilePrivacy
=09=09
=09=09
=09=09Advice and Living - Brain Candy - Business and Money - Comics - Daybr=
eakers -=20
Entertainment
=09=09Espa=0Fol - Games - Good Thoughts - Grapevine - Greetings - Health - =
Hobbies -=20
Horoscopes
=09=09Household Hints- Kitchen - Music - Sports - Style - Technology - Trav=
el -=20
Wireless
=09=09

=09=09[IMAGE]
=09=09
=09=09
=09=09LOSE UP TO 15 POUNDS IN 15 DAYS!!!
=09=09There are NO failures with this new diet pill - you will lose weight =
-=20
guaranteed! Anne McLean, world famous for her phenomenally successful weigh=
t=20
loss secrets has now launched the faster easier Zone Fat Blaster Slimming=
=20
Pill. Lose up to 15 lbs in 15 days with NO risk. Witness the impressive=20
results for yourself. Start losing weight immediately!!! Click  here for mo=
re=20
details.=20
=09=09
=09=09
=09=09
=09=09Health & Fitness Tip of the Day
=09=09Tuesday November 28, 2000
=09=09
=09=09Take The Stairs! =20
=09=09
=09=09Don't think you have time to exercise? How about taking the stairs in=
stead of=20
the elevator? Start out slowly. Up one flight or down two as you build up=
=20
your tolerance. Be sure to talk to your doctor before exerting yourself.
=09=09
=09=09- Marc Ellman
=09=09
=09=09Email  this tip to a friend - Browse  the Archives
=09=09
=09=09[IMAGE]
=09=09
=09=09E-greetings that are EMAZING!
=09=09Easy, fun and FREE...EMAZING greetings are the cool way to say what y=
ou've=20
gotta say. =20
=09=09
=09=09Holiday gift shopping made easy...
=09=09It's Flooz!  The online gift currency you send by email! =20
=09=09
=09=09Win a FREE Sony Playstation 2 from Half.com!
=09=09Every dollar spent at Half.com is an entry.  Easy holiday shopping is=
 waiting=20
for you at our Holiday Gift Central! =20
=09=09
=09=09Don't spend Christmas without the Grinch...
=09=09Save up to 40% at Amazon's Dr. Seuss Shop! =20
=09=09
=09=09LET YOUR LAPTOP COMPUTER CONNECT TO THE INTERNET WIRELESSLY
=09=09Sign up today for the Sierra Aircard and connect to the Internet Anyt=
ime,=20
Anywhere. =20
=09=09
=09=09=20
=09=09
=09=09
=09=09[IMAGE]
=09=09[IMAGE]
=09=09
=09=09
=09=09   =20
=09=09
=09=09Tip Gift
=09=09HEALTH BOOK OF THE DAY
=09=09Robin A. McKenzie: 7 Steps to a Pain-Free Life
=09=09
=09=09
=09=09Book
=09=09BOOK  OF THE DAY
=09=09The Beatles: The Beatles Anthology
=09=09
=09=09
=09=09CD
=09=09CD  OF THE DAY
=09=09U2: All That You Can't Leave Behind
=09=09
=09=09
=09=09Gift
=09=09 GIFT  OF THE DAY
=09=09Pacific Cycle: Red Blitz Mini Scooter
=09=09
=09=09
=09=09DVD
=09=09MOVIE  OF THE DAY (DVD)
=09=09Mel Gibson: Chicken Run
=09=09
=09=09
=09=09VHS
=09=09MOVIE  OF THE DAY (VHS)
=09=09A Charlie Brown Christmas
=09=09
=09=09
=09=09Quote
=09=09QUOTE  OF THE DAY
=09=09You can pretend to be serious; you can't pretend to be witty.
=09=09Sacha Guitry
=09=09
=09=09=20
=09=09
=09=09[IMAGE]
=09=09[IMAGE]
=09=09
=09=09  =20
=09=09
=09=09
=09=09
=09=09  Does ""email program"" mean ""geek Greek"" to you?
=09=09Don't let email confuse you! Get FREE Outlook 2000 tips from EMAZING.=
 Soon=20
you'll be setting up folders, sending tricky attachments, customizing your=
=20
views, and scheduling appointments. It's as easy as 1-2-3 with these tips!=
=20
Click  here for more details.  =20
=09=09
=09=09[IMAGE]
=09=09?
=09=09Advertise - Company Info - Feedback - Help - Jobs - Privacy Policy - =
Terms &=20
Conditions
=09=09Archives - Edit Your Profile -?Unsubscribe
=09=09
=09=09EMAZING.com is a service of EMAZING, INC. Copyright 2000. All Rights =
Reserved.
=09=09EMAZING.com - Whatever you're into, we email it to you. FREE!=20
[IMAGE]"
